Location,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Fiji,784.476,792.86,800.315,806.494,811.223,814.218,815.691,816.628,818.354,821.817,827.411,834.812,843.34,851.967,859.95,867.086,873.596,879.715,885.806,892.149,898.76,905.502,912.241
Finland,5136.979,5151.746,5164.242,5175.926,5187.954,5200.479,5213.373,5227.103,5242.185,5258.927,5277.57,5298.014,5319.902,5342.646,5365.782,5389.242,5412.98,5436.616,5459.717,5481.966,5503.132,5523.231,5542.517
France,58499.689,58763.395,59034.921,59316.107,59608.201,59911.252,60225.076,60550.097,60886.607,61233.9,61592.884,61960.95,62329.567,62687.521,63026.74,63343.577,63639.873,63919.917,64190.638,64457.201,64720.69,64979.548,65233.271
French Guiana,141.767,146.273,151.17,156.735,163.165,170.596,178.904,187.619,196.079,203.826,210.673,216.785,222.452,228.134,234.181,240.654,247.463,254.503,261.623,268.691,275.713,282.731,289.763
French Polynesia,219.283,223.731,228.376,232.952,237.258,241.273,245.006,248.499,251.775,254.886,257.832,260.594,263.179,265.581,267.82,269.843,271.703,273.528,275.484,277.69,280.208,283.007,285.859
Gabon,1113.994,1142.324,1171.224,1200.773,1231.122,1262.259,1294.409,1328.146,1364.205,1403.126,1444.844,1489.193,1536.411,1586.754,1640.21,1697.101,1756.817,1817.271,1875.713,1930.175,1979.786,2025.137,2067.561
Gambia,1096.708,1128.169,1160.944,1195.42,1231.844,1270.495,1311.349,1354.194,1398.573,1444.204,1491.021,1539.116,1588.572,1639.56,1692.149,1746.363,1802.125,1859.324,1917.852,1977.59,2038.501,2100.568,2163.765
Georgia,4945.566,4881.248,4825.186,4773.169,4722.059,4672.162,4624.88,4579.082,4533.329,4486.547,4438.896,4390.535,4340.514,4287.696,4231.661,4171.256,4107.719,4045.91,3992.346,3951.524,3925.405,3912.061,3907.131
Germany,81426.337,81499.866,81499.232,81481.612,81487.757,81535.848,81611.868,81686.495,81715.659,81671.234,81540.353,81344.457,81130.944,80965.612,80894.785,80933.98,81066.228,81265.139,81489.66,81707.789,81914.672,82114.224,82293.457
Ghana,17185.608,17608.812,18036.494,18477.612,18938.762,19421.605,19924.522,20446.782,20986.536,21542.009,22113.425,22700.212,23298.64,23903.831,24512.104,25121.796,25733.049,26346.251,26962.563,27582.821,28206.728,28833.629,29463.643
Gibraltar,30.382,30.594,30.801,30.991,31.18,31.374,31.544,31.72,31.896,32.085,32.296,32.51,32.732,32.956,33.189,33.405,33.623,33.831,34.038,34.228,34.408,34.571,34.733
Greece,10880.912,10961.123,11030.393,11090.266,11142.119,11184.398,11216.799,11243.567,11270.476,11301.204,11338.77,11380.897,11419.647,11443.828,11446.005,11422.805,11378.257,11321.3,11264.726,11217.8,11183.716,11159.773,11142.161
Greenland,55.837,55.881,55.948,56.046,56.175,56.327,56.518,56.708,56.861,56.951,56.971,56.927,56.841,56.728,56.638,56.552,56.47,56.414,56.382,56.377,56.412,56.48,56.565
Grenada,100.796,101.122,101.309,101.442,101.619,101.849,102.1,102.375,102.656,102.949,103.259,103.586,103.93,104.296,104.677,105.075,105.481,105.909,106.36,106.823,107.317,107.825,108.339
Guadeloupe,406.977,411.444,416.089,420.582,424.646,428.22,431.359,434.191,436.885,439.552,442.257,444.91,447.345,449.333,450.718,451.447,451.602,451.338,450.884,450.418,449.975,449.568,449.173
Guam,148.06,150.303,152.277,153.953,155.329,156.401,157.175,157.714,158.099,158.402,158.648,158.855,159.035,159.231,159.444,159.678,159.973,160.375,160.967,161.797,162.896,164.229,165.718
Guatemala,10646.674,10887.634,11133.501,11387.203,11650.743,11924.946,12208.848,12500.478,12796.925,13096.028,13397.008,13700.286,14006.366,14316.208,14630.417,14948.919,15271.056,15596.214,15923.559,16252.429,16582.469,16913.503,17245.346
Guinea,8132.552,8337.988,8503.297,8653.769,8808.546,8971.139,9137.345,9309.848,9490.229,9679.745,9881.428,10096.727,10323.142,10556.524,10794.17,11035.17,11281.469,11536.615,11805.509,12091.533,12395.924,12717.176,13052.608
Guinea-Bissau,1159.06,1179.727,1199.915,1220.794,1243.229,1267.512,1293.523,1321.202,1350.345,1380.838,1412.669,1445.958,1480.841,1517.448,1555.88,1596.154,1638.139,1681.495,1725.744,1770.526,1815.698,1861.283,1907.268
Guyana,761.861,760.51,757.952,755.278,753.301,752.263,751.884,751.857,751.652,750.946,749.601,747.869,746.314,745.693,746.556,749.1,753.091,758.081,763.393,768.514,773.303,777.859,782.225
Haiti,7965.553,8111.951,8258.483,8404.398,8549.2,8692.567,8834.733,8976.552,9119.178,9263.404,9409.457,9556.889,9705.029,9852.87,9999.617,10145.054,10289.21,10431.776,10572.466,10711.061,10847.334,10981.229,11112.945
High-income countries,1042533.877,1049417.709,1056280.706,1063171.016,1070130.224,1077128.7,1084169.198,1091360.756,1098845.299,1106701.844,1114996.07,1123635.564,1132346.742,1140755.107,1148592.393,1155747.285,1162295.164,1168383.994,1174248.893,1180060.957,1185859.358,1191584.02,1197191.032
Holy See,0.778,0.782,0.781,0.781,0.785,0.788,0.792,0.798,0.797,0.798,0.8,0.796,0.794,0.795,0.794,0.796,0.804,0.801,0.8,0.803,0.801,0.792,0.801
Honduras,5867.849,6028.882,6192.026,6357.221,6524.283,6693.061,6863.157,7033.821,7204.153,7373.43,7541.406,7707.972,7872.658,8035.021,8194.778,8351.6,8505.646,8657.785,8809.216,8960.829,9112.867,9265.067,9417.167
Hungary,10332.989,10309.022,10280.145,10249.959,10221.051,10194.005,10167.872,10141.956,10115.081,10086.465,10055.897,10023.887,9991.201,9958.942,9927.84,9898.204,9869.684,9841.697,9813.335,9783.925,9753.281,9721.559,9688.847
Iceland,270.15,272.709,275.296,277.87,280.435,282.907,285.329,287.952,291.104,294.979,299.728,305.2,310.884,316.086,320.328,323.418,325.526,327.029,328.459,330.243,332.474,335.025,337.78
India,978893.217,997405.318,1015974.042,1034539.214,1053050.912,1071477.855,1089807.112,1108027.848,1126135.777,1144118.674,1161977.719,1179681.239,1197146.906,1214270.132,1230980.691,1247236.029,1263065.852,1278562.207,1293859.294,1309053.98,1324171.354,1339180.127,1354051.854
Indonesia,199914.831,202826.465,205715.544,208612.556,211540.429,214506.502,217508.059,220545.214,223614.649,226712.73,229838.202,232989.141,236159.276,239340.478,242524.123,245707.511,248883.232,252032.263,255131.116,258162.113,261115.456,263991.379,266794.98
